Feature Name,Category,Subcategory,Description,Input Required,Output,Example Tool/API,Tags,Capability Category,Documentation / URL
Blur scene with-low-latency,Auto/Generated,,Blur scene with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-privacy-preserving-on-device,Auto/Generated,,Blur scene with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-source-link,Auto/Generated,,Blur scene with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-speaker-attribution,Auto/Generated,,Blur scene with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-translation,Auto/Generated,,Blur scene with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-visual-cue,Auto/Generated,,Blur scene with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background,Auto/Generic,,Detect background — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Runway ML,,Vision,https://runwayml.com/
Detect background as-closed-captions,Auto/Generated,,Detect background as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background as-emoji,Auto/Generated,,Detect background as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background as-searchable-metadata,Auto/Generated,,Detect background as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background as-text-snippet,Auto/Generated,,Detect background as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background as-timestamped-clip,Auto/Generated,,Detect background as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background for-low-bandwidth,Auto/Generated,,Detect background for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background in real-time,Auto/Generated,,Detect background in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background on-recording,Auto/Generated,,Detect background on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-audio-only-mode,Auto/Generated,,Detect background with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Vision,https://www.agora.io/en/blog/ai-noise-suppression/
Detect background with-auto-archive,Auto/Generated,,Detect background with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-clip-optimization,Auto/Generated,,Detect background with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-confidence-score,Auto/Generated,,Detect background with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-high-precision,Auto/Generated,,Detect background with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-language-detection,Auto/Generated,,Detect background with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-low-latency,Auto/Generated,,Detect background with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-privacy-preserving-on-device,Auto/Generated,,Detect background with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-source-link,Auto/Generated,,Detect background with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-speaker-attribution,Auto/Generated,,Detect background with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-translation,Auto/Generated,,Detect background with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect background with-visual-cue,Auto/Generated,,Detect background with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Detect camera feed as-closed-captions,Auto/Generated,,Detect camera feed as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Vision,"https://www.descript.com/, https://openai.com/research/whisper"
Detect camera feed as-emoji,Auto/Generated,,Detect camera feed as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Detect camera feed as-searchable-metadata,Auto/Generated,,Detect camera feed as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Detect camera feed as-text-snippet,Auto/Generated,,Detect camera feed as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Detect camera feed as-timestamped-clip,Auto/Generated,,Detect camera feed as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Detect camera feed for-low-bandwidth,Auto/Generated,,Detect camera feed for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Detect camera feed in real-time,Auto/Generated,,Detect camera feed in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Detect camera feed on-recording,Auto/Generated,,Detect camera feed on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Detect camera feed with-audio-only-mode,Auto/Generated,,Detect camera feed with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Vision,https://www.agora.io/en/blog/ai-noise-suppression/
Detect camera feed with-auto-archive,Auto/Generated,,Detect camera feed with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Detect camera feed with-clip-optimization,Auto/Generated,,Detect camera feed with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
